product_id,product_name,date_updated,product_quantity,product_price
1,Bagel - Whole White Sesame,2018-11-01 00:00:00,97,430
2,Sauce - Caesar Dressing,2019-04-10 00:00:00,16,825
3,Shiratamako - Rice Flour,2018-03-07 00:00:00,71,799
4,Tart - Raisin And Pecan,2019-01-18 00:00:00,86,106
5,Radish,2018-11-06 00:00:00,22,247
6,Juice - V8 Splash,2018-01-13 00:00:00,67,115
7,Red Currants,2018-10-01 00:00:00,49,677
8,Soup - Base Broth Beef,2019-03-09 00:00:00,62,544
9,Tomatoes Tear Drop Yellow,2019-02-09 00:00:00,73,64
10,Mussels - Cultivated,2018-07-31 00:00:00,24,934
11,"Bread - Crumbs, Bulk",2019-01-12 00:00:00,88,449
12,"Beans - Long, Chinese",2018-09-22 00:00:00,47,473
13,"Beans - Navy, Dry",2018-01-20 00:00:00,44,460
14,"Basil - Dry, Rubbed",2018-02-04 00:00:00,21,869
15,Apple - Granny Smith,2018-01-12 00:00:00,72,506
16,"Lid - High Heat, Super Clear",2018-02-09 00:00:00,5,123
17,Oranges - Navel,2018-06-06 00:00:00,46,478
18,Berry Brulee,2018-08-25 00:00:00,50,759
19,Lobster - Canned Premium,2018-04-15 00:00:00,57,761
20,Ham - Procutinni,2019-01-09 00:00:00,8,570
21,Veal - Ground,2018-12-19 00:00:00,5,767
22,Oil - Cooking Spray,2018-06-11 00:00:00,6,420
23,"Extract - Vanilla,artificial",2018-06-08 00:00:00,20,291
24,"Mushroom - Porcini, Dry",2018-07-26 00:00:00,71,814
25,Wine - Chateau Bonnet,2018-03-10 00:00:00,54,741
